annual_rainfall_mm,monsoon_rainfall_mm,pre_monsoon_rainfall_mm,post_monsoon_rainfall_mm,cloud_visibility_km,flood
1846.2,1552.6,155.9,137.7,8.21,1
1578.5,950.1,275.6,352.8,1.29,1
2642.7,1706.9,195.2,740.6,2.13,1
1177.3,751.4,232.0,194.0,0.6,0
1339.8,955.2,112.3,272.2,13.32,0
819.9,573.7,92.9,153.3,10.23,0
2924.7,2173.4,391.3,360.0,4.83,1
2595.1,2166.9,176.6,251.6,3.71,1
2703.9,1718.5,466.5,518.9,10.4,1
2908.0,2203.7,265.2,439.0,13.83,1
2039.1,1136.8,270.0,632.3,4.84,1
2335.6,1468.4,309.3,557.8,5.16,1
1177.5,811.4,165.3,200.7,12.89,0
1109.2,620.4,64.7,424.1,13.45,0
2604.7,1915.2,196.1,493.3,13.75,1
2072.0,1561.2,153.7,357.1,4.75,1
2326.1,1800.5,221.7,304.0,2.24,1
2865.5,2020.1,205.6,639.8,6.88,1
2513.7,1838.0,473.3,202.4,4.79,1
2294.7,1534.7,291.3,468.7,13.32,0
2309.9,1299.0,331.5,679.3,1.03,1
1620.7,940.0,167.9,512.8,9.69,0
883.2,659.3,80.8,143.1,13.64,0
1979.1,1679.6,248.3,51.2,14.66,0
1379.4,765.2,129.9,484.3,9.93,0
1903.0,1365.0,193.2,344.8,14.27,0
3104.2,2406.7,366.0,331.5,1.6,1
1431.6,1142.5,180.2,109.0,5.71,0
957.4,683.2,189.2,85.0,0.63,0
1559.7,1147.9,130.2,281.6,14.73,0
1592.7,1208.9,196.2,187.6,13.59,0
2587.2,2089.6,187.4,310.2,0.91,1
2304.0,1351.7,236.2,716.1,0.76,1
2916.5,2414.5,459.6,50.0,5.82,1
2593.6,1446.7,197.6,949.3,4.25,1
1897.2,1519.4,260.3,117.5,12.78,0
2997.9,1717.8,337.3,942.7,2.83,1
1250.8,761.0,72.2,417.6,11.96,0
861.3,474.7,163.6,223.0,8.54,0
1043.1,713.1,116.9,213.2,5.97,0
2750.4,1788.6,460.9,500.9,2.61,1
2047.1,1227.8,230.2,589.1,14.97,0
1235.4,846.7,235.5,153.3,9.46,0
2152.8,1443.9,201.4,507.5,6.87,1
1211.2,945.1,135.5,130.7,5.88,0
2680.1,2192.1,439.1,50.0,13.63,1
2004.6,1495.0,203.6,306.1,12.41,0
1828.8,1074.1,191.4,563.3,12.26,0
1614.1,1030.8,321.6,261.7,9.43,0
2501.8,2061.4,333.6,106.7,13.38,1
1776.9,1024.6,272.6,479.7,4.84,1
1036.7,696.7,151.9,188.1,10.7,0
1118.6,931.5,194.9,50.0,6.36,0
3397.1,2837.3,609.0,50.0,9.2,1
3253.2,2190.6,437.5,625.1,14.97,1
2689.2,2017.5,253.3,418.4,14.78,1
1517.8,1042.8,81.1,394.0,7.93,0
3416.8,2651.5,485.7,279.5,8.82,1
2902.6,1623.9,504.5,774.1,13.51,1
2735.6,1622.9,321.7,791.1,14.79,1
2013.3,1478.3,150.4,384.6,11.79,0
1535.1,951.4,143.1,440.6,1.45,0
1060.3,795.0,134.1,131.1,5.18,0
3237.0,2121.4,568.1,547.5,13.5,1
2030.6,1657.0,153.8,219.8,11.64,1
1346.4,1071.4,190.9,84.0,11.26,0
1626.1,1134.8,265.1,226.3,10.18,0
2363.9,1848.3,450.1,65.5,6.52,1
1277.3,806.4,86.2,384.7,6.35,0
3112.9,2173.6,588.2,351.0,12.23,1
2848.0,1735.1,399.3,713.5,4.76,1
2742.5,2216.7,452.5,73.3,10.43,1
1966.7,1567.3,114.2,285.2,11.03,0
2493.7,2046.5,314.0,133.2,12.75,1
2377.1,1933.1,340.9,103.1,5.14,1
2554.6,2140.4,245.3,168.8,11.26,1
1028.0,635.8,118.0,274.2,2.04,0
1922.7,1595.0,256.0,71.7,2.5,1
912.4,658.1,121.2,133.0,6.55,0
2133.8,1444.0,120.1,569.7,1.3,1
1690.6,1214.1,196.0,280.6,14.24,0
1190.2,776.9,97.7,315.6,13.58,0
1079.2,687.0,202.4,189.9,1.21,0
2386.6,1485.4,468.9,432.3,12.66,1
1260.6,724.5,119.7,416.4,7.88,0
3297.8,2305.1,251.6,741.2,10.68,1
2368.9,1933.8,196.4,238.7,13.36,1
1736.5,1283.4,211.3,241.9,8.87,0
2395.5,1691.9,434.0,269.6,2.19,1
861.6,584.6,107.7,169.2,0.54,0
3388.1,2335.5,197.6,855.1,7.71,1
2102.2,1288.2,117.7,696.3,14.26,0
2913.4,2321.6,245.0,346.7,8.8,1
1023.4,623.8,180.5,219.1,5.91,0
2114.0,1617.2,302.8,194.0,0.95,1
2124.9,1653.2,285.7,186.1,13.77,0
3332.1,2407.3,326.0,598.8,5.24,1
2343.7,1895.7,443.9,50.0,10.72,1
2078.4,1324.6,207.2,546.6,10.57,0
1520.8,1238.7,266.5,50.0,4.18,1
1695.2,1303.3,312.6,79.3,1.42,1
2205.8,1741.8,270.2,193.8,6.08,1
1985.1,1487.6,365.5,132.0,5.1,1
858.4,690.0,78.6,89.8,10.65,0
3031.0,2570.1,450.9,50.0,12.39,1
3219.6,2176.6,203.5,839.5,3.73,1
1178.7,936.1,142.7,99.9,8.16,0
2295.9,1775.6,189.6,330.7,1.09,1
1093.2,749.8,64.9,278.5,3.61,0
2615.0,2165.5,132.2,317.4,11.55,1
1559.3,1042.1,153.9,363.3,12.0,0
2580.4,1857.0,357.2,366.2,11.76,1
2762.9,1607.4,326.8,828.7,2.56,1
2875.3,1776.2,273.9,825.2,8.49,1
1090.9,875.1,216.7,50.0,6.63,0
3273.2,2189.7,625.0,458.6,14.88,1
1421.6,949.9,97.9,373.8,9.98,0
901.0,562.0,101.2,237.8,14.06,0
2298.1,1602.9,338.6,356.6,2.61,1
1801.5,1426.3,288.3,86.9,7.04,1
3040.4,2488.7,319.1,232.6,11.69,1
2982.3,1703.0,483.0,796.3,5.83,1
1656.3,1196.6,113.7,346.0,9.67,0
3372.8,2327.9,336.5,708.4,7.92,1
1585.5,1164.2,249.7,171.6,14.88,0
2190.7,1498.8,315.1,376.7,3.02,1
1491.1,998.4,261.8,230.9,14.06,0
3327.3,2301.1,189.8,836.5,6.32,1
1244.4,901.7,94.8,247.9,7.29,0
921.3,645.2,52.8,223.3,8.16,0
1974.8,1365.8,155.6,453.3,4.35,1
3479.4,2767.4,176.2,535.9,14.47,1
3207.5,2481.6,403.0,322.9,13.72,1
2821.2,1840.6,364.6,616.0,14.61,1
3205.1,2532.6,476.6,196.0,14.96,1
3212.3,2589.4,346.1,276.8,10.21,1
2200.9,1311.9,111.1,778.0,7.05,1
1653.0,1198.1,249.7,205.2,12.84,0
2884.4,1833.3,167.7,883.4,0.85,1
2586.5,1996.1,465.4,125.0,12.6,1
1808.9,1124.5,96.6,587.8,7.71,0
1055.1,792.8,136.7,125.6,10.26,0
2816.3,1764.5,518.9,532.9,5.92,1
1508.6,1061.1,205.0,242.6,5.85,0
3329.4,2778.7,470.3,80.4,0.96,1
1450.6,963.8,220.8,266.0,6.64,0
1131.4,919.6,77.3,134.5,6.42,0
3044.0,2575.5,460.4,50.0,3.76,1
1213.9,986.2,221.0,50.0,4.09,0
1284.0,770.1,251.8,262.1,8.97,0
2418.3,1924.7,281.6,212.0,5.11,1
3161.3,1769.2,321.4,1070.7,12.54,1
1330.4,888.7,216.8,224.9,2.12,0
1637.9,1328.7,215.3,93.9,8.88,0
2899.0,2193.5,256.8,448.7,2.82,1
3423.9,2430.4,259.6,733.9,8.16,1
2152.0,1434.0,162.6,555.4,8.51,1
1188.5,943.3,141.3,103.9,9.81,0
837.6,639.0,63.3,135.4,6.7,0
1420.1,980.6,75.2,364.3,7.89,0
1155.9,945.2,66.8,143.8,3.12,0
2629.7,1627.7,498.3,503.7,7.21,1
1128.9,678.6,68.8,381.5,5.91,0
2167.1,1609.8,132.1,425.1,10.16,0
2674.5,2250.9,314.7,108.9,6.8,1
2369.0,1478.7,205.5,684.8,11.8,0
1339.4,837.0,260.4,242.0,6.68,0
2971.1,1758.5,554.6,658.1,3.92,1
2731.6,2207.6,302.4,221.6,4.47,1
2795.3,1727.2,327.9,740.1,1.16,1
1153.9,808.8,122.6,222.4,8.33,0
1134.1,960.9,63.1,110.1,12.55,0
3304.4,1829.5,310.4,1164.6,11.65,1
1873.5,1343.2,128.1,402.1,6.85,1
1612.6,1134.7,105.4,372.4,3.34,1
2119.2,1678.9,284.2,156.0,13.02,1
2589.7,1700.4,167.9,721.5,1.32,1
3380.2,2275.2,221.2,883.8,6.29,1
1573.4,944.6,192.1,436.7,12.92,0
3297.0,2546.1,383.6,367.3,6.2,1
867.1,681.0,61.3,124.8,2.21,0
2299.0,1358.7,116.5,823.8,4.36,1
2511.7,1677.9,198.3,635.5,9.2,1
1085.9,888.1,92.7,105.1,2.7,0
1178.9,649.4,200.5,329.1,10.0,0
1931.6,1235.5,361.8,334.3,6.85,1
3408.8,2442.5,378.0,588.3,5.35,1
2409.3,1566.6,266.8,575.9,3.99,1
3319.2,2096.4,520.7,702.1,12.44,1
2971.8,2044.6,428.0,499.1,6.25,1
2061.9,1246.3,160.0,655.5,11.21,0
2918.9,2069.1,193.1,656.6,6.89,1
848.2,646.3,98.1,103.8,1.83,0
1094.7,791.0,147.5,156.2,6.89,0
3039.5,1756.6,215.2,1067.6,7.86,1
2951.4,2370.9,277.4,303.1,7.14,1
1428.1,860.4,136.9,430.7,12.34,0
2233.1,1740.6,199.2,293.3,13.71,0
2436.2,1603.5,290.2,542.6,11.91,1
3142.9,2466.6,465.0,211.2,8.95,1
2428.4,1485.9,307.0,635.5,8.35,1
1913.9,1159.8,153.5,600.6,9.85,0
1810.3,1265.6,118.5,426.2,4.67,1
1949.9,1091.7,337.9,520.3,12.27,0
2560.2,1581.2,312.1,667.0,12.92,1
3142.2,2410.7,186.4,545.1,4.37,1
2025.5,1622.9,179.7,222.9,13.59,0
1469.2,843.6,250.6,374.9,12.81,0
1439.0,1172.2,234.2,50.0,6.66,0
2814.2,2221.2,510.4,82.7,13.68,1
3004.7,2436.6,421.6,146.6,2.25,1
1084.3,823.5,123.0,137.7,0.91,0
979.7,737.0,111.7,131.0,5.54,0
2405.0,1701.6,190.2,513.2,8.7,1
1194.7,891.0,176.4,127.3,5.6,0
3026.6,2499.2,416.9,110.5,14.16,1
1637.9,950.2,119.9,567.7,4.19,0
1188.5,766.2,217.3,204.9,4.58,0
3286.6,1879.1,346.0,1061.6,9.71,1
1246.9,1039.2,71.6,136.0,0.56,0
1568.7,1072.4,155.6,340.8,11.05,0
1214.8,914.2,219.2,81.3,5.97,0
1111.8,892.1,208.5,50.0,14.68,0
857.1,726.2,105.9,50.0,10.53,0
949.6,568.3,183.7,197.5,1.26,0
1271.5,1004.3,230.5,50.0,1.84,1
944.1,770.6,164.1,50.0,1.78,0
2396.1,1353.0,428.8,614.3,14.31,1
2637.9,2047.6,283.0,307.3,10.42,1
1862.8,1222.8,304.5,335.5,6.7,1
1658.6,1234.9,226.6,197.1,3.41,0
2162.2,1522.7,341.5,298.0,13.17,1
3162.5,1985.8,242.5,934.2,3.42,1
3098.1,1829.6,494.8,773.7,10.75,1
917.4,536.7,177.6,203.0,11.57,0
1290.0,749.5,123.1,417.5,4.77,0
1439.2,1066.9,284.9,87.4,7.82,0
1473.3,965.7,157.3,350.4,3.73,0
2342.3,1440.5,187.3,714.5,5.99,1
1923.9,1457.5,128.6,337.8,14.49,0
933.0,705.4,156.5,71.1,10.55,0
1808.8,1287.4,241.0,280.4,12.78,0
2214.1,1838.8,212.7,162.6,8.34,1
1074.5,715.2,151.8,207.5,3.97,0
3050.3,2442.6,304.5,303.3,10.84,1
940.3,538.4,110.3,291.7,7.76,0
3297.1,2545.2,591.5,160.4,3.06,1
1067.6,903.8,160.4,50.0,6.48,0
3077.7,2474.4,505.8,97.4,9.71,1
3237.2,2343.4,445.2,448.6,11.16,1
3444.8,2542.4,684.5,217.9,4.03,1
2965.5,1945.3,255.7,764.5,13.2,1
2904.6,2189.6,259.5,455.5,6.0,1
2534.7,1979.9,161.9,392.9,4.43,1
2903.3,2466.3,386.4,50.6,3.33,1
1163.3,811.7,165.2,186.4,12.16,0
2247.4,1277.4,357.1,612.9,5.64,1
2188.4,1594.8,219.5,374.1,7.51,1
3115.4,1824.7,161.5,1129.2,3.73,1
2049.6,1277.8,296.8,475.0,10.45,0
1839.7,1193.3,367.6,278.8,11.82,0
2526.8,1943.9,238.0,344.9,5.42,1
1519.5,919.5,117.9,482.1,14.2,0
1177.4,706.1,108.6,362.6,0.94,0
2090.3,1177.8,237.9,674.5,2.43,1
1925.6,1563.5,168.8,193.3,9.04,0
1427.9,1082.5,145.7,199.8,10.67,0
1792.3,1007.2,261.2,523.9,4.13,1
1789.3,999.3,182.1,607.9,8.53,0
1684.2,1208.6,184.3,291.4,5.12,0
1824.6,1158.2,102.2,564.2,8.53,0
2651.5,1933.0,497.7,220.8,10.06,1
1601.6,1089.7,177.8,334.1,14.61,0
3361.9,2780.3,333.6,248.1,7.11,1
3274.1,2083.5,206.2,984.5,9.9,1
2098.5,1581.7,304.5,212.2,8.88,1
1686.6,955.0,302.9,428.7,5.1,0
2245.7,1879.1,126.1,240.4,4.17,1
3091.1,2609.6,221.9,259.6,14.82,1
2562.0,1977.1,184.4,400.5,3.5,1
2971.9,2049.3,417.1,505.5,11.96,1
2238.4,1378.8,421.2,438.3,2.63,1
2508.9,1991.4,290.2,227.3,12.16,1
1578.0,1216.5,160.3,201.2,3.19,1
2784.2,1716.7,459.0,608.5,14.52,1
1346.5,922.8,217.3,206.4,10.45,0
2676.0,1843.3,232.8,599.8,1.81,1
3123.9,2492.7,231.6,399.7,10.55,1
1156.7,873.5,119.9,163.3,9.25,0
2458.8,1826.8,409.0,223.0,5.39,1
1056.8,787.2,163.0,106.5,4.28,0
2759.4,1741.6,413.6,604.3,10.92,1
1028.1,680.1,179.3,168.7,11.25,0
3327.0,1875.4,304.7,1146.9,5.24,1
1171.0,920.5,118.2,132.3,13.21,0
3389.0,2304.2,191.0,893.8,4.4,1
2962.4,2018.8,534.2,409.5,1.51,1
2402.9,1498.5,330.1,574.4,9.2,1
2913.1,1785.2,275.9,851.9,2.05,1
2946.8,2140.4,178.0,628.4,4.51,1
3354.3,2078.9,531.7,743.7,7.85,1
1484.1,844.9,240.9,398.4,4.65,0
2393.2,1867.3,358.8,167.1,3.62,1
1056.6,700.5,85.1,271.0,10.7,0
2463.6,1636.0,460.7,367.0,8.43,1
1262.5,857.7,205.8,199.0,12.68,0
2325.4,1847.5,345.7,132.1,8.93,1
2345.6,1515.8,346.3,483.4,7.51,1
2058.2,1600.0,382.1,76.0,4.29,1
2211.1,1839.3,418.4,50.0,11.98,1
2862.6,2142.0,398.9,321.7,3.35,1
2958.0,2009.9,332.8,615.2,4.01,1
2128.8,1648.4,222.6,257.8,12.7,1
2418.9,1662.7,418.1,338.1,11.25,1
3314.3,2235.0,486.2,593.2,9.39,1
1123.3,794.8,69.2,259.3,1.06,0
1116.2,720.3,79.6,316.3,2.35,0
1036.8,602.7,191.8,242.3,7.75,0
2576.2,1737.6,470.6,368.1,11.32,1
1930.2,1133.4,372.1,424.8,7.23,0
2890.7,1945.8,330.0,614.8,0.75,1
2612.3,1873.2,437.8,301.2,3.17,1
1700.8,1410.3,296.3,50.0,9.04,0
3225.6,1809.1,314.0,1102.4,10.57,1
2858.8,2105.4,205.3,548.2,0.98,1
1530.4,1051.9,305.4,173.1,1.13,1
1783.3,991.7,97.2,694.4,4.29,0
1649.0,1030.4,230.2,388.4,1.71,1
1225.6,717.6,180.8,327.1,8.36,0
1199.0,737.4,182.6,279.0,2.29,0
3327.5,2104.2,294.0,929.3,9.9,1
1982.3,1328.9,313.7,339.7,11.77,0
1835.0,1300.5,151.3,383.2,14.57,0
2770.2,1524.4,483.0,762.8,14.25,1
2293.1,1372.5,190.0,730.5,4.46,1
3327.6,1923.6,514.1,889.9,0.93,1
2906.8,2078.1,486.9,341.8,5.28,1
2094.3,1358.6,164.1,571.6,10.77,0
1816.2,1297.7,155.6,362.8,1.37,1
3463.9,2135.7,578.0,750.2,5.72,1
2738.0,1525.8,172.2,1040.0,4.82,1
3368.2,2803.7,264.8,299.7,3.68,1
1119.9,652.3,132.5,335.0,10.74,0
3096.4,1820.9,586.9,688.7,10.06,1
2520.1,1496.8,338.4,684.8,8.26,1
1129.2,953.5,122.1,53.6,13.71,0
2388.3,1756.1,469.9,162.3,2.0,1
2652.5,1944.5,317.1,390.9,2.67,1
833.2,704.9,95.9,50.0,6.06,0
2026.7,1168.4,226.5,631.8,10.01,0
3028.6,2551.1,293.2,184.2,8.97,1
1597.5,976.4,157.9,463.2,1.57,0
2038.1,1501.9,312.2,224.0,14.4,0
1994.2,1348.2,111.9,534.2,4.92,1
1615.2,1074.4,246.0,294.8,5.71,0
3279.8,2720.2,263.0,296.6,9.54,1
2909.5,1730.5,313.2,865.9,14.2,1
1098.6,932.8,79.1,86.7,10.11,0
3492.0,2317.8,464.1,710.1,14.34,1
3173.8,2363.3,505.9,304.6,3.22,1
1566.6,1316.5,161.7,88.4,9.47,0
3059.6,1735.7,228.0,1096.0,12.52,1
1087.3,899.1,91.3,97.0,7.88,0
3497.6,2519.5,604.1,374.0,5.75,1
2597.3,1977.4,234.1,385.8,14.78,1
2555.3,1519.8,424.7,610.8,2.54,1
1044.2,741.4,104.1,198.7,6.46,0
3222.0,2423.1,252.3,546.6,13.16,1
878.3,603.3,139.7,135.3,13.56,0
1450.2,865.1,174.4,410.7,14.72,0
1186.2,739.3,64.9,382.0,13.33,0
2897.3,2336.1,562.0,50.0,1.24,1
1335.2,748.1,96.3,490.7,13.98,0
3258.7,2485.3,335.7,437.7,6.71,1
2571.9,2185.7,277.0,109.2,9.95,1
897.6,495.7,110.8,291.1,6.22,0
814.7,487.4,136.7,190.5,12.3,0
939.5,706.7,47.8,184.9,8.85,0
2436.0,1383.6,462.5,589.8,12.76,1
2964.0,2154.6,435.4,374.0,3.31,1
1444.1,1090.6,278.1,75.4,3.18,1
3093.4,2247.2,533.9,312.3,6.89,1
954.5,629.6,180.6,144.4,0.57,0
2962.6,2249.2,415.2,298.2,10.55,1
3305.0,2407.0,342.4,555.6,4.79,1
2884.7,1766.3,335.9,782.5,8.58,1
2684.9,1930.3,399.3,355.4,1.52,1
3062.5,2494.7,349.3,218.6,2.97,1
908.4,681.4,145.1,81.9,9.53,0
1344.8,930.0,85.8,329.1,4.93,0
1137.3,735.2,198.5,203.6,3.61,0
2162.2,1244.9,174.3,743.0,3.82,1
2812.0,1753.0,538.8,520.3,3.61,1
2501.0,1384.0,183.4,933.7,9.53,1
3098.1,2620.9,214.9,262.2,2.93,1
1219.1,751.9,209.4,257.8,5.76,0
2783.5,2211.4,481.0,91.1,10.47,1
1321.2,793.5,212.5,315.2,7.95,0
1531.0,972.3,297.1,261.6,9.16,0
2716.7,1835.1,246.1,635.5,4.14,1
3446.6,2231.0,599.7,615.8,14.02,1
2451.2,1935.2,252.0,264.0,6.5,1
947.2,793.1,123.7,50.0,4.66,0
2464.0,2002.2,287.9,173.9,13.61,1
914.3,545.0,46.5,322.8,10.0,0
3187.2,2495.6,434.0,257.6,9.4,1
2715.9,1614.3,440.3,661.3,13.36,1
1267.4,1044.4,96.6,126.5,1.35,0
1047.6,739.0,198.8,109.9,12.65,0
1295.5,843.3,167.9,284.4,10.33,0
3446.1,2057.7,264.4,1124.0,5.72,1
2038.1,1128.2,299.4,610.5,4.22,1
2917.0,1821.3,229.8,865.9,2.02,1
2518.3,2075.6,149.9,292.8,14.15,0
2345.5,1851.0,358.4,136.1,2.56,1
1191.9,1002.3,79.4,110.2,4.26,0
3354.3,1946.2,221.2,1186.9,10.52,1
1613.6,1174.2,259.8,179.7,10.8,0
2360.6,1480.5,137.6,742.6,2.83,1
2689.4,1917.2,461.1,311.0,12.3,1
2552.9,1649.5,432.5,470.9,7.9,1
3339.6,2120.8,237.8,981.0,12.8,1
1200.8,867.2,153.4,180.2,1.77,0
2172.6,1314.4,140.1,718.1,1.12,1
1890.9,1306.1,274.0,310.8,9.74,0
2080.3,1550.3,123.6,406.3,2.68,1
1121.9,660.2,215.0,246.7,8.11,0
1162.1,963.6,94.3,104.2,0.7,0
1550.8,1088.2,236.4,226.2,11.81,0
1622.7,1291.4,112.4,218.9,13.54,0
1955.3,1459.0,159.2,337.1,12.66,0
2449.7,1869.1,288.2,292.4,14.4,1
2513.5,1922.4,341.7,249.3,13.59,1
1911.9,1553.5,382.1,50.0,6.94,1
1903.7,1397.5,102.6,403.6,6.28,1
1387.6,879.0,69.4,439.2,13.49,0
2388.4,1384.9,244.9,758.5,13.94,0
1656.0,1212.0,173.8,270.3,14.61,0
897.4,511.4,163.8,222.1,11.64,0
1929.7,1201.0,360.6,368.0,3.43,1
2080.2,1182.0,378.8,519.4,14.2,0
1409.1,1007.0,100.7,301.3,14.23,0
2345.6,1402.9,262.3,680.4,10.16,1
2327.6,1706.4,376.8,244.4,12.93,1
2695.4,2122.0,261.2,312.3,8.64,1
2549.5,2030.8,381.1,137.5,14.19,1
2561.6,1646.7,219.2,695.6,1.86,1
1653.8,1181.9,162.9,308.9,13.03,0
2926.1,2103.6,524.0,298.6,1.3,1
2282.7,1579.3,199.9,503.5,5.42,1
1964.8,1466.8,382.5,115.6,2.46,1
2490.2,1526.6,238.9,724.7,7.45,1
1773.8,1496.7,94.9,182.2,3.87,1
2184.4,1265.7,192.7,726.0,14.31,0
2789.1,2227.8,211.1,350.2,8.61,1
3193.3,2325.4,402.4,465.4,13.52,1
3286.9,2049.2,219.9,1017.7,4.53,1
2159.8,1671.0,310.8,177.9,0.88,1
2204.7,1268.5,399.6,536.7,11.75,1
2959.7,2315.4,308.9,335.3,10.68,1
1649.0,1198.8,124.1,326.1,8.41,0
3060.9,1785.2,336.7,939.0,12.32,1
2134.2,1224.7,358.3,551.2,12.68,0
1112.8,862.7,154.4,95.7,9.02,0
994.6,634.4,64.8,295.3,14.51,0
3073.4,2510.3,401.3,161.8,10.94,1
950.0,739.7,114.2,96.1,10.31,0
1557.7,1183.0,154.3,220.4,5.74,0
1702.2,1078.5,113.2,510.5,0.53,1
1267.1,966.4,249.8,50.9,3.99,0
1647.5,1374.8,125.9,146.9,11.58,0
2805.3,1620.0,221.4,963.9,10.79,1
839.6,544.0,60.3,235.4,5.3,0
3033.4,1881.9,411.1,740.4,9.57,1
3112.7,2079.2,362.8,670.7,3.33,1
1805.1,1394.8,157.8,252.5,4.32,1
1214.8,840.9,139.0,234.8,14.24,0
2422.3,1747.0,365.8,309.5,6.49,1
1123.1,723.6,103.6,295.9,4.05,0
1785.3,1057.6,334.4,393.3,7.56,0
3387.8,2134.6,325.1,928.1,6.11,1
3487.8,2817.8,278.1,391.9,11.08,1
2884.7,2107.9,557.3,219.5,14.45,1
1639.6,1087.7,281.3,270.6,9.08,0
2656.7,2090.7,269.6,296.4,9.07,1
2704.6,1539.8,476.6,688.2,5.79,1
1847.2,1156.6,236.1,454.4,8.69,0
2530.4,1566.4,258.1,705.9,5.13,1
829.0,701.0,145.8,50.0,0.52,0
1364.5,1039.5,222.2,102.8,13.06,0
2217.7,1630.8,210.0,377.0,6.73,1
1242.1,685.0,175.1,382.0,7.64,0
1247.9,755.4,131.5,361.0,1.71,0
3058.0,2265.0,153.4,639.7,12.64,1
3470.7,2304.2,674.3,492.2,2.97,1
2301.1,1903.7,304.8,92.7,6.45,1
3065.5,2389.3,428.4,247.7,12.68,1
3473.9,2376.9,486.3,610.7,7.14,1
1182.3,916.1,156.8,109.4,14.0,0
2010.3,1693.9,188.0,128.4,3.54,1
1859.9,1280.2,364.1,215.7,10.87,0
1016.1,754.7,145.6,115.8,14.68,0
2839.4,2344.2,427.7,67.5,8.47,1
1971.2,1231.2,233.0,507.0,10.54,0
2067.2,1686.8,192.6,187.8,6.2,1
1206.8,699.1,72.0,435.8,11.39,0
1288.5,959.3,132.1,197.1,13.68,0
3249.2,2550.1,248.3,450.8,10.69,1
920.6,676.0,137.5,107.1,14.07,0
1428.7,998.2,259.8,170.7,9.04,0
1588.6,1167.9,151.6,269.1,8.87,0
2123.5,1264.6,212.2,646.8,4.92,1
2383.4,1465.0,358.8,559.6,10.79,1
2131.9,1345.2,154.3,632.4,13.29,0
1027.1,749.1,194.6,83.5,9.87,0
1457.9,995.1,152.5,310.3,3.88,0
3077.7,1918.5,200.6,958.6,8.39,1
2521.5,2054.6,192.1,274.7,11.46,1
2552.7,1690.3,484.8,377.6,14.12,1
2609.5,1784.4,227.2,597.9,2.77,1
2859.8,1924.4,427.1,508.3,2.35,1
956.9,578.5,70.3,308.1,6.49,0
1789.8,1377.3,141.6,271.0,2.32,1
2256.7,1544.8,410.5,301.4,14.72,0
1713.8,951.0,123.7,639.1,6.65,0
3080.1,2584.8,162.7,332.6,8.24,1
2102.9,1671.3,263.3,168.4,3.79,1
2875.3,2205.5,515.9,153.9,7.01,1
3100.4,2513.6,306.6,280.2,14.78,1
2162.9,1778.0,149.7,235.2,7.59,1
3255.8,2120.3,642.5,493.0,0.63,1
2385.2,1749.1,361.4,274.8,4.02,1
3095.7,2268.1,549.8,277.9,14.69,1
1719.6,1083.7,280.0,355.9,14.84,0
2146.8,1323.7,332.2,490.9,3.55,1
2234.8,1305.5,240.7,688.6,9.42,0
1083.4,810.2,106.9,166.4,1.62,0
1876.1,1471.4,295.6,109.2,8.87,0
3276.8,2550.3,516.1,210.4,2.33,1
